# Freq   Response
      139.904       621.12243
      140.409       614.59732
      140.914       608.12046
      141.419       601.68801
      141.924       595.29644
      142.429       588.95149
      142.934       582.65592
      143.439       576.41608
      143.944       570.21312
      144.449       564.06924
      144.954       557.96891
      145.459       551.91929
      145.964       545.92138
      146.470       539.98013
      146.975       534.09168
      147.480       528.24888
      147.985       522.46165
      148.490       516.73069
      148.995       511.05396
      149.500       505.42586
      150.005       499.85762
      150.510       494.34147
      151.015       488.88716
      151.520       483.47354
      152.025       478.12543
      152.530       472.83114
      153.035       467.57604
      153.540       462.38954
      154.046       457.25368
      154.551       452.17810
      155.056       447.15416
      155.561       442.18910
      156.066       437.27350
      156.571       432.40647
      157.076       427.58822
      157.581       422.84276
      158.086       418.12926
      158.591       413.48513
      159.096       408.88390
      159.601       404.33749
      160.106       399.84537
      160.611       395.40710
      161.116       391.01110
      161.622       386.67071
      162.127       382.37436
      162.632       378.13902
      163.137       373.94501
      163.642       369.80682
      164.147       365.71985
      164.652       361.66879
      165.157       357.67439
      165.662       353.72778
      166.167       349.82856
      166.672       345.97212
      167.177       342.16418
      167.682       338.40056
      168.187       334.68421
      168.692       331.00749
      169.198       327.38136
      169.703       323.79750
      170.208       320.26311
      170.713       316.76258
      171.218       313.31044
      171.723       309.89361
      172.228       306.52940
      172.733       303.19657
      173.238       299.91107
      173.743       296.66127
      174.248       293.45692
      174.753       290.28550
      175.258       287.15840
      175.763       284.06294
      176.268       281.00809
      176.774       277.99396
      177.279       275.01749
      177.784       272.07439
      178.289       269.17322
      178.794       266.30325
      179.299       263.46541
      179.804       260.66927
      180.309       257.90507
      180.814       255.17365
      181.319       252.47460
      181.824       249.81632
      182.329       247.18265
      182.834       244.57913
      183.339       242.01496
      183.844       239.47936
      184.350       236.97451
      184.855       234.50296
      185.360       232.06594
      185.865       229.65046
      186.370       227.26878
      186.875       224.91087
      187.380       222.58928
      187.885       220.28988
      188.390       218.02344
      188.895       215.77947
      189.400       213.56919
      189.905       211.38239
      190.410       209.22512
      190.915       207.08923
      191.421       204.97995
      191.926       202.89903
      192.431       200.84255
      192.936       198.81359
      193.441       196.80612
      193.946       194.82415
      194.451       192.86025
      194.956       190.92974
      195.461       189.01740
      195.966       187.12795
      196.471       185.26306
      196.976       183.41895
      197.481       181.59620
      197.986       179.79769
      198.491       178.01795
      198.997       176.26251
      199.502       174.52654
      200.007       172.80803
      200.512       171.11473
      201.017       169.43834
      201.522       167.78520
      202.027       166.14981
      202.532       164.53296
      203.037       162.93504
      203.542       161.35707
      204.047       159.79913
      204.552       158.25709
      205.057       156.73316
      205.562       155.22846
      206.067       153.74134
      206.573       152.26929
      207.078       150.81534
      207.583       149.38025
      208.088       147.95816
      208.593       146.55448
      209.098       145.16792
      209.603       143.79781
      210.108       142.44142
      210.613       141.10110
      211.118       139.77662
      211.623       138.46852
      212.128       137.17403
      212.633       135.89379
      213.138       134.63030
      213.643       133.38029
      214.149       132.14318
      214.654       130.92124
      215.159       129.71392
      215.664       128.51772
      216.169       127.33613
      216.674       126.16794
      217.179       125.01479
      217.684       123.87137
      218.189       122.74476
      218.694       121.62696
      219.199       120.52441
      219.704       119.43103
      220.209       118.35364
      220.714       117.28543
      221.219       116.23056
      221.725       115.18585
      222.230       114.15408
      222.735       113.13298
      223.240       112.12238
      223.745       111.12590
      224.250       110.13523
      224.755       109.15909
      225.260       108.19395
      225.765       107.23889
      226.270       106.29333
      226.775       105.35690
      227.280       104.43386
      227.785       103.51921
      228.290       102.61193
      228.795       101.71780
